Serial number,ratings,discounts,prices,brand,energy_rating,capacity,max_spin_speed,price_category
122,1053,55,25990,realme TechLife,5,10,1400,High
123,3235,33,9990,Godrej,5,7,1440,Low
124,15824,30,8999,Thomson,5,8,1400,Low
125,21344,22,13990,Whirlpool,5,6.5,740,Medium
126,10241,35,7690,Voltas Beko,5,6,1350,Low
127,5443,40,9490,MOTOROLA,5,8,1350,Low
128,24972,23,18790,Whirlpool,5,8,740,Medium
129,10241,28,14990,Voltas Beko,5,12,1350,Medium
130,23378,22,40990,LG,5,9,1200,Very High
131,15824,26,10999,Thomson,5,10,1400,Medium
132,14728,31,32990,SAMSUNG,5,8,1400,Very High
133,67749,27,18490,LG,5,7.5,700,Medium
134,29535,40,17990,Haier,5,8,800,Medium
135,5222,20,17490,LG,5,10,1300,Medium
136,37218,19,11390,SAMSUNG,5,7,1350,Medium
137,14728,37,29890,SAMSUNG,5,7,1000,High
138,69163,44,9690,realme TechLife,5,8,1400,Low
139,23599,22,10790,Whirlpool,5,7.5,1400,Medium
140,10241,32,16490,Voltas Beko,5,14,1350,Medium
141,25546,51,13990,realme TechLife,5,8,700,Medium
142,332,26,25990,Whirlpool,5,7,1000,High
143,801,45,12990,Voltas Beko,5,6.5,700,Medium
144,2535,42,12690,Voltas Beko,5,9,1350,Medium
145,22205,23,15990,Whirlpool,5,10,1400,Medium
146,23378,28,34990,LG,5,8,1400,Very High
147,2131,30,14990,Haier,5,9,1300,Medium
149,10238,30,9440,ONIDA,5,8,1450,Low
150,719,56,19990,Voltas Beko,5,10,700,Medium
152,84073,16,25990,IFB,5,6.5,1000,High
153,18767,23,21490,SAMSUNG,5,8,700,High
154,84073,19,29990,IFB,5,7,1200,High
155,21344,23,14590,Whirlpool,5,7,740,Medium
156,37218,19,16990,SAMSUNG,5,9,1300,Medium
157,346,46,24990,Godrej,5,7,1000,High
158,434,20,13199,LG,5,7.5,1300,Medium
159,1378,28,36790,IFB,5,8,1400,Very High
160,460,21,30990,Whirlpool,5,8,1400,Very High
161,10241,50,11290,Voltas Beko,5,8.5,1350,Medium
162,584,35,19290,Haier,5,8,800,Medium
163,1482,33,17990,Whirlpool,5,7.5,740,Medium
164,1841,29,8689,Voltas Beko,5,7,1350,Low
165,5443,39,8190,MOTOROLA,5,7,1350,Low
166,51640,45,9790,MarQ by Flipkart,5,9,1350,Low
167,5443,40,10190,MOTOROLA,5,8.5,1350,Medium
168,2131,34,12490,Haier,5,9,1300,Medium
169,15824,28,8999,Thomson,5,8.5,1400,Low
170,84073,27,45590,IFB,5,10,1400,Very High
171,1841,29,9190,Voltas Beko,5,7,1350,Low
172,5222,30,13990,LG,5,8,1300,Medium
173,84073,26,34490,IFB,5,8,1200,Very High
175,2131,33,10290,Haier,5,7,1300,Medium
176,2428,33,8990,Lloyd,5,6.5,1400,Low
177,2428,32,11548,Lloyd,5,7.5,1300,Medium
178,4146,32,12499,Thomson,5,8,840,Medium
179,3085,20,13690,Whirlpool,5,9,1400,Medium
180,2514,21,14999,LG,5,8,1350,Medium
181,1016,29,32990,Haier,5,8,1200,Very High
182,4146,26,13999,Thomson,5,9,900,Medium
183,587,50,25490,Voltas Beko,5,8,1200,High
184,1841,29,8669,Voltas Beko,5,7,1350,Low
185,67749,28,19990,LG,5,8,700,Medium
186,840,32,24990,LG,5,9,700,High
187,107,23,27990,LG,5,9,780,High
188,84073,25,44690,IFB,5,9,1400,Very High
189,29535,48,17990,Haier,5,8,800,Medium
190,1841,28,9299,Voltas Beko,5,7,1350,Low
191,51640,45,8190,MarQ by Flipkart,5,7.5,1350,Low
192,1711,35,38900,BOSCH,5,9,1200,Very High
193,476,27,36990,LG,5,8,1200,Very High
